epoch,train loss,train accuracy,validation loss,validation accuracy,epoch time,name
0,0.6338315606117249,0.7043620944023132,0.6392260193824768,0.6912751793861389,0.0,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
1,0.5992587208747864,0.7042451500892639,0.611237645149231,0.6912751793861389,21.663435697555542,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
2,0.7640201449394226,0.3943398594856262,0.7586959600448608,0.3921380639076233,21.721670627593994,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
3,0.5693382024765015,0.7207344174385071,0.5736016035079956,0.7219558954238892,21.754374504089355,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
4,0.7993715405464172,0.7042451500892639,0.8318396806716919,0.6912751793861389,21.83341336250305,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
5,0.5617673397064209,0.7248275279998779,0.5618730783462524,0.7219558954238892,21.881686210632324,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
6,0.6909034848213196,0.7052976489067078,0.7182786464691162,0.6912751793861389,21.85561180114746,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
7,0.5557666420936584,0.7343000769615173,0.5575605034828186,0.7372962832450867,21.86475658416748,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
8,1.1093690395355225,0.3157525658607483,1.0852210521697998,0.32502397894859314,21.89201045036316,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
9,0.5530043244361877,0.7334814667701721,0.5543685555458069,0.7353787422180176,21.88336730003357,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
10,0.5787641406059265,0.711027979850769,0.5683080554008484,0.7315436601638794,21.879024505615234,bert-base-uncased_cola_epochs10_minibatch32_logging25_gradualunfreeze_lr01
